WD16CD,WD16NM
E05005131,Brenchley and Horsmonden
E05004927,Brent
E05000347,Brentford
E05004067,Brentwood North
E05004068,Brentwood South
E05004069,Brentwood West
E05006902,Brereton and Ravenhill
E05008614,Brereton Rural
E05005914,Bressingham and Burston
E05007899,Bretforton and Offenham
E05007079,Brett Vale
E05010806,Bretton
E05006989,Brewood and Coven
E05008859,Brick Kiln
E05008751,Brickhill
E05010029,Brickhill
E05001669,Bricknell
E05010551,Bridestowe
E05000497,Bridge
E05001828,Bridge
E05004987,Bridge
E05010068,Bridge
E05007119,Bridge
E05004533,Bridgemary North
E05004534,Bridgemary South
E05001069,Bridges
E05010186,Bridgetown
E05008145,Bridgnorth East and Astley Abbotts
E05008146,Bridgnorth West and Tasley
E05008895,Bridgwater Dunwear
E05008896,Bridgwater Eastover
E05008897,Bridgwater Fairfax
E05008898,Bridgwater Hamp
E05008899,Bridgwater Victoria
E05008900,Bridgwater Westover
E05008901,Bridgwater Wyndham
E05001688,Bridlington Central and Old Town
E05001689,Bridlington North
E05001690,Bridlington South
E05010581,Bridport North
E05010582,Bridport South
E05005151,Briercliffe
E05005254,Brierfield
E05001238,Brierley Hill
E05001734,Brigg and Wolds
E05001371,Brighouse
E05004232,Brightlingsea
E05004432,Brighton Hill North
E05004433,Brighton Hill South
E05003324,Brimington North
E05003325,Brimington South
E05005167,Brindle and Hoghton
E05010413,Brinkburn & Faverdale
E05008335,Brinkworth
E05000783,Brinnington and Central
E05010521,Brinsley
E05001020,Brinsworth and Catcliffe
E05010890,Brislington East
E05010891,Brislington West
E05001262,Bristnall
E05005844,Briston
E05009338,Britwell and Northborough
E05000417,Brixton Hill
E05009016,Brixworth
E05009364,Brize Norton and Shilton
E05004070,Brizes and Doddinghurst
E05006921,Brizlincote
E05000149,Broad Green
E05010216,Broad Oak
E05009911,Broad Oak & the Hallingburys
E05007648,Broadbridge Heath
E05003462,Broadclyst
E05010217,Broadfield
E05007632,Broadfield North
E05007633,Broadfield South
E05000822,Broadheath
E05001580,Broadheath
E05003619,Broadheath
E05007848,Broadheath
E05010583,Broadmayne & Crossways
E05010015,Broadmead
E05010537,Broadstone
E05005132,Broadwater
E05007694,Broadwater
E05010506,Broadwaters
E05008722,Broadway and Longton East
E05007900,Broadway and Wickhamford
E05010584,Broadwindsor
E05009934,Brock with Catterall
E05004587,Brockenhurst and Forest South East
E05004535,Brockhurst
E05000439,Brockley
E05001239,Brockmoor and Pensnett
E05003326,Brockwell
E05008564,Brockworth
E05008615,Broken Cross and Upton
E05000957,Bromborough
E05004341,Bromesberrow and Dymock
E05008752,Bromham and Biddenham
E05000108,Bromley Common and Keston
E05000653,Bromley Cross
E05009321,Bromley North
E05009322,Bromley South
E05000109,Bromley Town
E05009389,Brompton & Hans Town
E05006276,Brompton-on-Swale and Scorton
E05009829,Bromsgrove Central
E05009446,Bromyard Bringsty
E05009447,Bromyard West
E05000087,Brondesbury Park
E05007080,Brook
E05005891,Brooke
E05005271,Brookfield
E05009807,Brookfield
E05000306,Brooklands
E05000691,Brooklands
E05000823,Brooklands
E05011058,Brookmans Park and Little Heath
E05009969,Brookside
E05008827,Brookside
E05004434,Brookvale and Kings Furlong
E05010099,Broom Leys
E05004098,Broomfield and The Walthams
E05008860,Broomhill
E05010860,Broomhill and Sharrow Vale
E05008147,Broseley
E05001505,Brotton
E05003209,Brough
E05000761,Broughton
E05009410,Broughton
E05003237,Broughton
E05001735,Broughton and Appleby
E05004635,Broughton and Stockbridge
E05005456,Broughton Astley-Astley
E05005457,Broughton Astley-Broughton
E05005458,Broughton Astley-Primethorpe
E05005459,Broughton Astley-Sutton
E05003117,Broughton St Bridget's
E05008148,Brown Clee
E05007046,Brown Edge and Endon
E05001308,Brownhills
E05009367,Brownswood
E05009002,Broxbourne and Hoddesdon South
E05000268,Bruce Grove
E05001736,Brumby
E05005760,Brundall
E05000326,Brunel
E05005152,Brunshaw
E05001646,Brunswick
E05009782,Brunswick
E05002420,Brunswick and Adelaide
E05000043,Brunswick Park
E05000534,Brunswick Park
E05006821,Bruton
E05000632,Bryanston and Dorset Square
E05006822,Brympton
E05000846,Bryn
E05008526,Buckden
E05004148,Buckhurst Hill East
E05004149,Buckhurst Hill West
E05007562,Buckingham
E05010334,Buckingham North
E05010335,Buckingham South
E05004588,Buckland
E05004944,Buckland
E05003595,Buckland and Milber
E05010552,Buckland Monachorum
E05002292,Bucklebury
E05000824,Bucklow-St Martins
E05010218,Buckshaw & Worden
E05004435,Buckskin
E05009783,Budbrooke
E05009164,Bude
E05003463,Budleigh
E05002078,Budshead
E05009165,Bugle
E05010002,Bulbarrow
E05009594,Bulk
E05007479,Bulkington
E05008861,Bull Farm and Pleasley Hill
E05002273,Bullbrook
E05002374,Bulmershe and Whitegates
E05001829,Bulwell
E05001830,Bulwell Forest
E05010371,Bumpstead
E05008616,Bunbury
E05007231,Bungay
E05000367,Bunhill
E05009711,Bunny
E05004722,Buntingford
E05005892,Bunwell
E05010625,Burbage
E05008338,Burbage and the Bedwyns
E05005483,Burbage Sketchley and Stretton
E05005482,Burbage St Catherines and Lash Hill
E05007081,Bures St Mary
E05009363,Burford
E05007671,Burgess Hill Dunstall
E05007672,Burgess Hill Franklands
E05007673,Burgess Hill Leylands
E05007674,Burgess Hill Meeds
E05007675,Burgess Hill St Andrews
E05007676,Burgess Hill Victoria
E05003162,Burgh
E05009875,Burgh le Marsh
E05002293,Burghfield
E05009571,Burham and Wouldham
E05005761,Burlingham
E05001417,Burmantofts and Richmond Hill
E05008942,Burn Valley
E05000692,Burnage
E05008149,Burnell
E05003238,Burneside
E05010861,Burngreave
E05005803,Burnham
E05008902,Burnham Central
E05010571,Burnham Church & Beeches
E05010572,Burnham Lent Rise & Taplow
E05008903,Burnham North
E05004191,Burnham-on-Crouch North
E05004192,Burnham-on-Crouch South
E05009042,Burnopfield and Dipton
E05000044,Burnt Oak
E05007289,Burpham
E05010553,Burrator
E05001737,Burringham and Gunness
E05006823,Burrow Hill
E05004233,Burrsville
E05005361,Burscough East
E05005362,Burscough West
E05004500,Bursledon and Old Netley
E05008723,Burslem Central
E05008724,Burslem Park
E05004023,Burstead
E05006922,Burton
E05003239,Burton and Holme
E05003660,Burton and Winkton
E05010585,Burton Bradstock
E05005991,Burton Latimer
E05001738,Burton upon Stather and Winterton
E05011027,Burtonwood and Winwick
E05002717,Burwell
E05007604,Bury
E05004179,Bush Fair
E05000194,Bush Hill Park
E05001324,Bushbury North
E05001325,Bushbury South and Low Hill
E05003596,Bushell
E05004752,Bushey Heath
E05004753,Bushey North
E05004754,Bushey Park
E05004755,Bushey St James
E05006763,Butleigh and Baltonsborough
E05006966,Butt Lane
E05004589,Butts Ash and Dibden Purlieu
E05003987,Buxted and Maresfield
E05005762,Buxton
E05010626,Buxton Central
E05008339,By Brook
E05004872,Bybrook
E05010795,Byfleet and West Byfleet
E05001091,Byker
E05010047,Byram & Brotherton
E05009106,Bywell
E05003511,Cadbury
E05008784,Caddington
E05000762,Cadishead
E05005272,Cadley
E05004764,Cadwell
E05009572,Cage Green
E05010971,Cainscross
E05005786,Caister North
E05005787,Caister South
E05009637,Caistor and Yarborough
E05002294,Calcot
E05002796,Caldecote
E05001372,Calder
E05009935,Calder
E05000368,Caledonian
E05009166,Callington
E05011046,Callowland
E05008340,Calne Central
E05008341,Calne Chilvester and Abberd
E05008342,Calne North
E05008343,Calne Rural
E05008344,Calne South and Cherhill
E05003347,Calver
E05001418,Calverley and Farsley
E05009690,Calverton
E05010972,Cam East
E05010973,Cam West
E05000535,Camberwell Green
E05010048,Camblesforth & Carlton
E05009167,Camborne Pendarves
E05009168,Camborne Roskear
E05009169,Camborne Trelowarren
E05009170,Camborne Treslothan
E05009171,Camborne Treswithian
E05000935,Cambridge
E05000130,Camden Town with Primrose Hill
E05009172,Camelford
E05006824,Camelot
E05007480,Camp Hill
E05009411,Campbell Park & Old Woughton
E05009390,Campden
E05010700,Campden & Vale
E05001117,Camperdown
E05010796,Canalside
E05009323,Canary Wharf
E05000403,Canbury
E05010538,Canford Cliffs
E05010539,Canford Heath East
E05010540,Canford Heath West
E05000590,Cann Hall
E05000477,Canning Town North
E05000478,Canning Town South
E05008904,Cannington and Wembdon
E05006903,Cannock East
E05006904,Cannock North
E05006905,Cannock South
E05006906,Cannock West
E05000456,Cannon Hill
E05000369,Canonbury
E05000286,Canons
E05003512,Canonsleigh
E05000131,Cantelowes
E05004084,Canvey Island Central
E05004085,Canvey Island East
E05004086,Canvey Island North
E05004087,Canvey Island South
E05004088,Canvey Island West
E05004089,Canvey Island Winter Gardens
E05005133,Capel
E05004945,Capel-le-Ferne
E05006547,Carfax
E05008918,Carhampton and Withycombe
E05010787,Carholme
E05008482,Carisbrooke
E05009936,Carleton
E05006379,Carlton
E05009691,Carlton
E05007232,Carlton
E05007233,Carlton Colville
E05009692,Carlton Hill
E05009595,Carnforth & Millhead
E05009426,Carpenders Park
E05008862,Carr Bank
E05000558,Carshalton Central
E05000559,Carshalton South and Clockhouse
E05010676,Carsic
E05003348,Carsington Water
E05006632,Carterton North East
E05009365,Carterton North West
E05006634,Carterton South
E05003240,Cartmel and Grange West
E05006825,Cary
E05010154,Casewick
E05001092,Castle
E05001154,Castle
E05010463,Castle
E05009448,Castle
E05008753,Castle
E05002704,Castle
E05003163,Castle
E05003513,Castle
E05010750,Castle
E05003932,Castle
E05010828,Castle
E05004928,Castle
E05009573,Castle
E05009596,Castle
E05010788,Castle
E05010155,Castle
E05008828,Castle
E05006317,Castle
E05010069,Castle
E05007069,Castle
E05007695,Castle
E05004946,Castle
E05001240,Castle and Priory
E05001286,Castle Bromwich
E05010100,Castle Donington Castle
E05010101,Castle Donington Central
E05007120,Castle Hill
E05010103,Castle Rock
E05002354,Castle Without
E05008150,Castlefields and Ditherington
E05001447,Castleford Central and Glasshoughton
E05000741,Castleton
E05000440,Catford South
E05000591,Cathall
E05007883,Cathedral
E05000536,Cathedrals
E05009830,Catshill North
E05009831,Catshill South
E05006277,Catterick
E05005878,Catton Grove
E05008754,Cauldwell
E05000327,Cavendish
E05009693,Cavendish
E05007167,Cavendish
E05002321,Caversham
E05007047,Caverswall
E05010049,Cawood & Wistow
E05006318,Cayton
E05009368,Cazenove
E05004090,Cedar Hall
E05007048,Cellarhead
E05000889,Central
E05000976,Central
E05009857,Central
E05009449,Central
E05010892,Central
E05002115,Central
E05008954,Central
E05010807,Central
E05009339,Central
E05002637,Central
E05003146,Central
E05003968,Central
E05011047,Central
E05004964,Central
E05005187,Central
E05005209,Central
E05010265,Central
E05006319,Central
E05007696,Central
E05007871,Central
E05010677,Central & New Cross
E05010336,Central & Walton
E05005788,Central and Northgate
E05005085,Central Harbour
E05002421,Central Hove
E05010998,Central Meon Valley
E05009412,Central Milton Keynes
E05000742,Central Rochdale
E05002274,Central Sandhurst
E05002442,Central Southsea
E05003933,Central St Leonards
E05003538,Central Town
E05008483,Central Wight
E05010586,Cerne Valley
E05007082,Chadacre
E05000720,Chadderton Central
E05000721,Chadderton North
E05000722,Chadderton South
E05001773,Chaddesden
E05010781,Chadlington and Churchill
E05010656,Chadsmead
E05000498,Chadwell
E05000029,Chadwell Heath
E05002231,Chadwell St Mary
E05002232,Chafford and North Stifford
E05010554,Chagford
E05003946,Chailey and Wivelsfield
E05007391,Chaldon
E05002638,Chalfont Common
E05002639,Chalfont St Giles
E05010974,Chalford
E05009735,Chalgrove
E05004965,Chalk
E05002214,Chalkwell
E05009548,Chalkwell
E05002196,Challney
E05009340,Chalvey
E05007649,Chanctonbury
E05004501,Chandler's Ford East
E05004502,Chandler's Ford West
E05007650,Chantry
E05001419,Chapel Allerton
E05010627,Chapel East
E05000592,Chapel End
E05009876,Chapel St Leonards
E05010628,Chapel West
E05011028,Chapelford and Old Hall
E05006826,Chard Avishayes
E05006827,Chard Combe
E05006828,Chard Crimchard
E05006829,Chard Holyrood
E05006830,Chard Jocelyn
E05002049,Charfield
E05009832,Charford
E05004873,Charing
E05010782,Charlbury and Finstock
E05001263,Charlemont with Grove Vale
E05002443,Charles Dickens
E05000693,Charlestown
E05000216,Charlton
E05004636,Charlton
E05004291,Charlton Kings
E05004292,Charlton Park
E05007317,Charlwood
E05010219,Charnock
E05010131,Charterlands
E05010394,Chartham & Stone Street
E05002375,Charvil
E05000328,Charville
E05000195,Chase
E05007849,Chase
E05010657,Chase Terrace
E05010658,Chasetown
E05005296,Chatburn
E05002249,Chatham Central
E05003349,Chatsworth
E05000537,Chaucer
E05008556,Chaucer
E05004702,Chaulden and Warners End
E05000784,Cheadle and Gatley
E05000785,Cheadle Hulme North
E05000786,Cheadle Hulme South
E05007049,Cheadle North East
E05007050,Cheadle South East
E05007051,Cheadle West
E05000560,Cheam
E05007052,Checkley
E05007168,Chedburgh
E05008905,Cheddar and Shipham
E05007053,Cheddleton
E05005915,Chedgrave and Thurton
E05010701,Chedworth & Churn Valley
E05000694,Cheetham
E05008617,Chelford
E05001774,Chellaston
E05004807,Chells
E05004099,Chelmer Village and Beaulieu Park
E05004100,Chelmsford Rural West
E05001287,Chelmsley Wood
E05009391,Chelsea Riverside
E05000110,Chelsfield and Pratts Bottom
E05010016,Cheriton
E05002705,Cherry Hinton
E05009638,Cherry Willingham
E05010935,Cherryfield
E05008990,Cherrywood
E05007350,Chertsey Meads
E05007352,Chertsey South and Row Town
E05007351,Chertsey St Ann's
E05004765,Chesfield
E05002640,Chesham Bois and Weedon Hill
E05009003,Cheshunt North
E05009004,Cheshunt South and Theobalds
E05006990,Cheslyn Hay North and Saredon
E05006991,Cheslyn Hay South
E05000404,Chessington North and Hook
E05000405,Chessington South
E05008664,Chester City
E05008665,Chester Villages
E05009043,Chester-le-Street East
E05009044,Chester-le-Street North
E05009045,Chester-le-Street South
E05009046,Chester-le-Street West Central
E05010702,Chesterton
E05006967,Chesterton
E05010395,Chestfield
E05008151,Cheswardine
E05002718,Cheveley
E05001940,Chew Valley North
E05001941,Chew Valley South
E05001220,Cheylesmore
E05007605,Chichester East
E05007606,Chichester North
E05007607,Chichester South
E05007608,Chichester West
E05010587,Chickerell & Chesil Bank
E05007414,Chiddingfold and Dunsfold
E05003988,Chiddingly and East Hoathly
E05010588,Chideock & Symondsbury
E05002295,Chieveley
E05004150,Chigwell Row
E05004151,Chigwell Village
E05000045,Childs Hill
E05000890,Childwall
E05002679,Chiltern Rise
E05009047,Chilton
E05010522,Chilwell West
E05004438,Chineham
E05000593,Chingford Green
E05009736,Chinnor
E05008345,Chippenham Cepen Park and Derriads
E05008346,Chippenham Cepen Park and Redlands
E05008347,Chippenham Hardenhuish
E05008348,Chippenham Hardens and England
E05008349,Chippenham Lowden and Rowden
E05008350,Chippenham Monkton
E05008351,Chippenham Pewsham
E05008352,Chippenham Queens and Sheldon
E05005297,Chipping
E05006637,Chipping Norton
E05002050,Chipping Sodbury
E05008152,Chirbury and Worthen
E05001118,Chirton
E05008955,Chiseldon and Lawn
E05000111,Chislehurst
E05005168,Chisnall
E05000348,Chiswick Homefields
E05000349,Chiswick Riverside
E05010084,Chittlehampton
E05007377,Chobham
E05009737,Cholsey
E05009107,Choppington
E05009313,Chopwell and Rowlands Gill
E05005169,Chorley East
E05005170,Chorley North East
E05005171,Chorley North West
E05005172,Chorley South East
E05005173,Chorley South West
E05009427,Chorleywood North & Sarratt
E05009428,Chorleywood South & Maple Cross
E05000695,Chorlton
E05000696,Chorlton Park
E05001071,Chowdene
E05000069,Christchurch
E05003118,Christchurch
E05004536,Christchurch
E05007290,Christchurch
E05004342,Christchurch and English Bicknor
E05003597,Chudleigh
E05003540,Chulmleigh
E05000671,Church
E05000891,Church
E05000936,Church
E05002322,Church
E05005210,Church
E05009970,Church Aston & Lilleshall
E05000499,Church End
E05008810,Church Gresley
E05007872,Church Hill
E05004180,Church Langley
E05000634,Church Street
E05008153,Church Stretton and Craven Arms
E05004343,Churcham and Huntley
E05008565,Churchdown Brookfield
E05004412,Churchdown St John's
E05000633,Churchill
E05006548,Churchill
E05007563,Churchill
E05006923,Churnet
E05007054,Churnet
E05002100,Churston-with-Galmpton
E05004344,Cinderford East
E05004345,Cinderford West
E05009341,Cippenham Green
E05009342,Cippenham Meadows
E05010862,City
E05001347,City
E05001420,City and Hunslet
E05000697,City Centre
E05007884,Claines
E05007291,Clandon and Horsley
E05004467,Clanfield and Finchdean
E05008755,Clapham
E05000418,Clapham Common
E05000419,Clapham Town
E05007169,Clare
E05003514,Clare and Shuttern
E05000763,Claremont
E05001647,Claremont
E05004787,Clarence
E05009784,Clarendon
E05009494,Clarkson
E05006241,Claro
E05000958,Clatterbridge
E05000959,Claughton
E05009912,Clavering
E05003420,Clay Cross North
E05003421,Clay Cross South
E05002296,Clay Hill
E05005789,Claydon
E05007137,Claydon and Barham
E05011074,Claygate
E05000500,Clayhall
E05006968,Clayton
E05001348,Clayton and Fairweather Green
E05005298,Clayton-le-Dale with Ramsgreave
E05005211,Clayton-le-Moors
E05005174,Clayton-le-Woods and Whittle-le-Woods
E05005175,Clayton-le-Woods North
E05005176,Clayton-le-Woods West and Cuerden
E05006380,Clayworth
E05001139,Cleadon and East Boldon
E05001140,Cleadon Park
E05003184,Cleator Moor North
E05003185,Cleator Moor South
E05001393,Cleckheaton
E05008154,Clee
E05008566,Cleeve Grange
E05008567,Cleeve Hill
E05008568,Cleeve St Michael's
E05004416,Cleeve West
E05000501,Clementswood
E05005804,Clenchwarton
E05008155,Cleobury Mortimer
E05000370,Clerkenwell
E05010279,Clevedon East
E05010280,Clevedon South
E05010281,Clevedon Walton
E05010282,Clevedon West
E05010283,Clevedon Yeo
E05000171,Cleveland
E05009937,Cleveleys Park
E05002355,Clewer East
E05002356,Clewer North
E05002357,Clewer South
E05005623,Cliff Villages
E05000825,Clifford
E05005086,Cliffsend and Pegwell
E05001648,Clifton
E05010313,Clifton
E05010893,Clifton
E05003119,Clifton
E05005188,Clifton
E05003350,Clifton and Bradley
E05010894,Clifton Down
E05001831,Clifton North
E05001832,Clifton South
E05002101,Clifton-with-Maidenway
E05005087,Cliftonville East
E05005088,Cliftonville West
E05003620,Clinton
E05009369,Clissold
E05005153,Cliviger with Worsthorne
E05000112,Clock House
E05003621,Clovelly Bay
E05005255,Clover Hill
E05003308,Clowne North
E05003309,Clowne South
E05000892,Clubmoor
E05008156,Clun
E05001942,Clutton
E05003464,Clyst Valley
E05003422,Coal Aston
E05005154,Coal Clough with Deerplay
E05010975,Coaley and Uley
E05010104,Coalville East
E05010105,Coalville West
E05009621,Coastal
E05005256,Coates
E05001506,Coatham
E05011075,Cobham and Downside
E05010414,Cockerton
E05000196,Cockfosters
E05002102,Cockington-with-Chelston
E05004766,Codicote
E05003286,Codnor and Waingroves
E05006992,Codsall North
E05006993,Codsall South
E05009833,Cofton
E05010372,Coggeshall
E05003622,Coham Bridge
E05007564,Cokeham
E05006831,Coker
E05006278,Colburn
E05002297,Cold Ash
E05010999,Colden Common and Twyford
E05000420,Coldharbour
E05010337,Coldharbour
E05004966,Coldharbour
E05000217,Coldharbour and New Eltham
E05000723,Coldhurst
E05006765,Coleford and Holcombe
E05004346,Coleford Central
E05004347,Coleford East
E05009517,Colehill East
E05009518,Colehill West
E05002706,Coleridge
E05007462,Coleshill North
E05007463,Coleshill South
E05000046,Colindale
E05000538,College
E05010415,College
E05009450,College
E05009971,College
E05008600,College
E05004293,College
E05005273,College
E05009108,College
E05007274,College
E05000253,College Park and Old Oak
E05002275,College Town
E05000457,Colliers Wood
E05010070,Collingham
E05003969,Collington
E05001119,Collingwood
E05010703,Coln Valley
E05009343,Colnbrook with Poyle
E05008559,Colne Valley
E05009028,Colney Heath
E05005763,Coltishall
E05010659,Colton & the Ridwares
E05009392,Colville
E05009694,Colwick
E05003465,Coly Valley
E05000070,Colyers
E05001943,Combe Down
E05003541,Combe Martin
E05002797,Comberton
E05006862,Comeytrowe
E05010481,Common
E05002079,Compton
E05002298,Compton
E05009712,Compton Acres
E05010954,Coney Hill
E05008618,Congleton East
E05008619,Congleton West
E05010284,Congresbury & Puxton
E05009877,Coningsby & Mareham
E05010733,Conisbrough
E05003241,Coniston and Crake Valley
E05003934,Conquest
E05009048,Consett North
E05009049,Consett South
E05000406,Coombe Hill
E05008569,Coombe Hill
E05000407,Coombe Vale
E05000113,Copers Cope
E05010314,Copmanthorpe
E05002444,Copnor
E05000047,Coppetts
E05009695,Coppice
E05005177,Coppull
E05001155,Copt Hill
E05008157,Copthorne
E05007677,Copthorne and Worth
E05010629,Corbar
E05009109,Corbridge
E05009519,Corfe Mullen
E05002376,Coronation
E05001623,Corporation Park
E05005846,Corpusty
E05002233,Corringham and Fobbing
E05008353,Corsham Pickwick
E05008354,Corsham Town
E05008355,Corsham Without and Box Hill
E05008158,Corvedale
E05005409,Cosby with South Whetstone
E05001241,Coseley East
E05006034,Cosgrove and Grafton
E05002445,Cosham
E05010630,Cote Heath
E05009713,Cotgrave
E05010895,Cotham
E05010606,Cotmanhay
E05010482,Coton
E05008977,Coton and Boughton
E05002051,Cotswold Edge
E05002798,Cottenham
E05001807,Cottesmore
E05001691,Cottingham North
E05001692,Cottingham South
E05009858,Coulby Newham
E05000150,Coulsdon East
E05000151,Coulsdon West
E05009050,Coundon
E05005410,Countesthorpe
E05000893,County
E05010220,Coupe Green & Gregson Lane
E05007275,Court
E05009393,Courtfield
E05009808,Courtwick with Toddington
E05008991,Cove and Southwood
E05008956,Covingham and Dorcan
E05005010,Cowden and Hever
E05008485,Cowes Medina
E05008486,Cowes North
E05008487,Cowes South and Northwood
E05008488,Cowes West and Gurnard
E05006549,Cowley
E05006550,Cowley Marsh
E05010776,Cowling
E05009110,Cowpen
E05004570,Cowplain
E05002358,Cox Green
E05002460,Coxford
E05008553,Coxheath and Hunton
E05009051,Coxhoe
E05007873,Crabbs Cross
E05001242,Cradley and Wollescote
E05001264,Cradley Heath and Old Hill
E05009052,Craghead and South Moor
E05009111,Cramlington East
E05009112,Cramlington Eastfield
E05009113,Cramlington North
E05009114,Cramlington South East
E05009115,Cramlington Village
E05009116,Cramlington West
E05000502,Cranbrook
E05009520,Crane
E05008785,Cranfield and Marston Moretaine
E05000350,Cranford
E05000307,Cranham
E05007415,Cranleigh East
E05007416,Cranleigh West
E05009714,Cranmer
E05003515,Cranmore
E05001349,Craven
E05005257,Craven
E05001072,Crawcrook and Greenside
E05002197,Crawley
E05007678,Crawley Down and Turners Hill
E05000072,Cray Meadows
E05000114,Cray Valley East
E05000115,Cray Valley West
E05000071,Crayford
E05009451,Credenhill
E05006767,Creech
E05010751,Creech Barrow
E05010541,Creekmoor
E05000894,Cressington
E05008620,Crewe Central
E05008621,Crewe East
E05008622,Crewe North
E05008624,Crewe South
E05008623,Crewe St Barnabas
E05008625,Crewe West
E05006832,Crewkerne
E05005316,Cribden
E05003287,Crich
E05000458,Cricket Green
E05008356,Cricklade and Latton
E05005916,Cringleford
E05009302,Cripplegate
E05005011,Crockenhill and Well Hill
E05009878,Croft
E05009117,Croft
E05006279,Croft
E05001713,Croft Baker
E05005411,Croft Hill
E05000441,Crofton Park
E05000152,Croham
E05005879,Crome
E05005847,Cromer Town
E05000654,Crompton
E05000724,Crompton
E05005917,Cromwells
E05009053,Crook
E05010863,Crookes and Crosspool
E05009353,Crookham East
E05009354,Crookham West and Ewshot
E05003242,Crooklands
E05006299,Cropton
E05009715,Cropwell
E05001739,Crosby and Park
E05003210,Crosby Ravensworth
E05006768,Croscombe and Pilton
E05008560,Crosland Moor and Netherton
E05001421,Cross Gates and Whinmoor
E05006969,Cross Heath
E05003989,Cross in Hand/Five Ashes
E05004024,Crouch
E05000269,Crouch End
E05009176,Crowan and Wendron
E05003990,Crowborough East
E05003991,Crowborough Jarvis Brook
E05003992,Crowborough North
E05003993,Crowborough St. Johns
E05003994,Crowborough West
E05008919,Crowcombe and Stogumber
E05003970,Crowhurst
E05005644,Crowland and Deeping St Nicholas
E05006924,Crown
E05009785,Crown
E05002276,Crown Wood
E05002277,Crowthorne
E05000895,Croxteth
E05005497,Croxton Kerrial
E05010030,Croyland
E05003120,Crummock
E05000698,Crumpsall
E05000116,Crystal Palace
E05007679,Cuckfield
E05007276,Cuddington
E05000977,Cudworth
E05001120,Cullercoats
E05003516,Cullompton North
E05003517,Cullompton Outer
E05003518,Cullompton South
E05005134,Culverden
E05009761,Cumnor
E05004789,Cunningham
E05004638,Cupernham
E05010660,Curborough
E05007464,Curdworth
E05003164,Currock
E05006833,Curry Rivel
E05000479,Custom House
E05002250,Cuxton and Halling
E05003211,Dacre
E05001693,Dale
E05010106,Daleacre Hill
E05001833,Dales
E05006300,Dales
E05009394,Dalgarno
E05002198,Dallow
E05009370,Dalston
E05003165,Dalston
E05001396,Dalton
E05003121,Dalton
E05003147,Dalton North
E05003148,Dalton South
E05006320,Danby
E05007055,Dane
E05008626,Dane Valley
E05005089,Dane Valley
E05003995,Danehill/Fletching/Nutley
E05009413,Danesborough & Walton
E05010266,Danesholme
E05005155,Daneshouse with Stoneyholme
E05000073,Danson Park
E05006035,Danvers and Wardoun
E05001582,Daresbury
E05000978,Darfield
E05001309,Darlaston South
E05001775,Darley
E05003351,Darley Dale
E05010864,Darnall
E05010132,Dartington & Staverton
E05010555,Dartmoor
E05010133,Dartmouth & East Dart
E05000979,Darton East
E05000980,Darton West
E05003971,Darwell
E05000117,Darwin
E05002359,Datchet
E05004723,Datchworth & Aston
E05008666,Davenham and Moulton
E05000787,Davenport and Cale Green
E05000826,Davyhulme East
E05000827,Davyhulme West
E05009054,Dawdon
E05009972,Dawley & Aqueduct
E05003599,Dawlish Central and North East
E05003600,Dawlish South West
E05009696,Daybrook
E05009371,De Beauvoir
E05008943,De Bruce
E05008756,De Parys
E05006036,Deanshanger
E05000981,Dearne North
E05000982,Dearne South
E05009913,Debden & Wimbish
E05010433,Deben
E05007138,Debenham
E05001073,Deckham
E05010930,Deddington
E05005274,Deepdale
E05010156,Deeping St James
E05009055,Deerness
E05008829,Delapre and Briar Hill
E05009056,Delves Lane
E05001397,Denby Dale
E05001093,Dene
E05009057,Deneside
E05010573,Denham
E05011000,Denmead
E05007652,Denne
E05001094,Denton
E05005805,Denton
E05003166,Denton Holme
E05000804,Denton North East
E05000805,Denton South
E05000806,Denton West
E05000937,Derby
E05005363,Derby
E05005299,Derby and Thornley
E05010607,Derby Road East
E05010608,Derby Road West
E05010242,Dereham Neatherd
E05010243,Dereham Toftwood
E05010244,Dereham Withburga
E05001670,Derringham
E05005806,Dersingham
E05001776,Derwent
E05006301,Derwent
E05010050,Derwent
E05003122,Derwent Valley
E05006321,Derwent Valley
E05005992,Desborough Loatland
E05005993,Desborough St Giles
E05004989,Detling and Thurnham
E05008357,Devizes and Roundway South
E05008358,Devizes East
E05008359,Devizes North
E05010071,Devon
E05002080,Devonport
E05003920,Devonshire
E05001398,Dewsbury East
E05001399,Dewsbury South
E05001400,Dewsbury West
E05004590,Dibden and Hythe East
E05009429,Dickinsons
E05005893,Dickleburgh
E05009738,Didcot North East
E05009739,Didcot South
E05009740,Didcot West
E05000699,Didsbury East
E05000700,Didsbury West
E05005364,Digmoor
E05005300,Dilworth
E05009452,Dinedor Hill
E05008936,Dinnington
E05010631,Dinting
E05008627,Disley
E05002680,Disraeli
E05005918,Diss
E05003186,Distington
E05005894,Ditchingham and Broome
E05003947,Ditchling and Westmeston
E05001583,Ditton
E05009574,Ditton
E05005807,Docking
E05007901,Dodderhill
E05009495,Doddington & Wimblington
E05002052,Dodington
E05008667,Dodleston and Huntington
E05007083,Dodnash
E05000983,Dodworth
E05010808,Dogsthorpe
E05010157,Dole Wood
E05000088,Dollis Hill
E05009973,Donnington
E05007609,Donnington
E05010589,Dorchester East
E05010590,Dorchester North
E05010591,Dorchester South
